peakID	Freq	FreqUnique	peakLEN	peakANNO	chr	start	end	MutSamples	MutSamplesunique	peakMUTr	pbin	pbin.adj	neglog10qval
chr5:40306736-40308651	3	3	1915	DistalRE	chr5	40306736	40308651	CPCG0201-F1,CPCG0260-F1,CPCG0345-F1	CPCG0201-F1,CPCG0260-F1,CPCG0345-F1	0.00156657963446475	2.00909374931265e-10	1.57654842192157e-06	5.80229268584193
chr9:88045661-88047190	3	3	1529	DistalRE	chr9	88045661	88047190	Baca_03-3125_T_wgs,Baca_08-1042_T_wgs,CPCG0057-F1	Baca_03-3125_T_wgs,Baca_08-1042_T_wgs,CPCG0057-F1	0.00196206671026815	3.76513618474642e-10	2.78073025531451e-06	5.55584113782058
chr3:128100779-128102892	3	3	2113	RUVBL1	chr3	128100779	128102892	CPCG0236-F1,CPCG0345-F1,CPCG0350-F1	CPCG0236-F1,CPCG0345-F1,CPCG0350-F1	0.00141978230004733	9.30923799615512e-10	6.4933486562848e-06	5.18753127733126
chr14:37903786-37906470	3	3	2684	LINC00517	chr14	37903786	37906470	CPCG0006-F1,CPCG0063-F1,CPCG0342-F1	CPCG0006-F1,CPCG0063-F1,CPCG0342-F1	0.0011177347242921	1.2783625502881e-09	8.44748701454327e-06	5.07327246714899
chr6:134952688-134952957	2	2	269	DistalRE	chr6	134952688	134952957	Berger_1701_T_wgs,CPCG0078-F1	Berger_1701_T_wgs,CPCG0078-F1	0.00743494423791822	3.79414288847414e-09	2.38183011038297e-05	4.6230892188207
chr7:20480377-20480633	2	2	256	DistalRE	chr7	20480377	20480633	CPCG0205-F1,Weischenfeldt_04_T_wgs	CPCG0205-F1,Weischenfeldt_04_T_wgs	0.0078125	4.0498322531369e-09	2.42127899465761e-05	4.61595516559368
chr1:18743871-18744146	2	2	275	DistalRE	chr1	18743871	18744146	CPCG0413-F1,Weischenfeldt_04_T_wgs	CPCG0413-F1,Weischenfeldt_04_T_wgs	0.00727272727272727	5.44172423984274e-09	3.10556728856807e-05	4.50785905642416
chr17:40547043-40547202	2	2	159	DistalRE	chr17	40547043	40547202	Baca_08-492_T_wgs,CPCG0379-F1	Baca_08-492_T_wgs,CPCG0379-F1	0.0125786163522013	6.07100703343911e-09	3.31405715682339e-05	4.47964000566957
chr5:42811187-42811317	2	2	130	DistalRE	chr5	42811187	42811317	Baca_03-2345_T_wgs,Baca_07-837_T_wgs	Baca_03-2345_T_wgs,Baca_07-837_T_wgs	0.0153846153846154	7.20467358741314e-09	3.76903492883534e-05	4.42376983778782
chr1:157125884-157126022	2	2	138	DistalRE	chr1	157125884	157126022	Baca_07-5318_T_wgs,CPCG0378-F1	Baca_07-5318_T_wgs,CPCG0378-F1	0.0144927536231884	9.65002557359421e-09	4.8463586433659e-05	4.31458445006821
chr19:10851520-10851852	2	2	332	DistalRE	chr19	10851520	10851852	Baca_09-146_T_wgs,CPCG0379-F1	Baca_09-146_T_wgs,CPCG0379-F1	0.00602409638554217	1.27656316881383e-08	6.09455357875297e-05	4.21505810060913
chr3:51578904-51579227	2	2	323	DistalRE	chr3	51578904	51579227	Baca_STID0000002872_T_wgs,CPCG0090-F1	Baca_STID0000002872_T_wgs,CPCG0090-F1	0.00619195046439629	1.35161184727176e-08	6.09455357875297e-05	4.21505810060913
chr4:102172421-102172845	2	2	424	DistalRE	chr4	102172421	102172845	TCGA_6365_T1_wgs,Weischenfeldt_07_T_wgs	TCGA_6365_T1_wgs,Weischenfeldt_07_T_wgs	0.00471698113207547	1.35916704662639e-08	6.09455357875297e-05	4.21505810060913
chr4:120051810-120052173	2	2	363	DistalRE	chr4	120051810	120052173	CPCG0357-F1,CPCG0365-F1	CPCG0357-F1,CPCG0365-F1	0.00550964187327824	1.41130981201136e-08	6.11014416646421e-05	4.21394854262795
chr2:224102510-224102786	2	2	276	DistalRE	chr2	224102510	224102786	CPCG0183-F1,CPCG0410-F1	CPCG0183-F1,CPCG0410-F1	0.0072463768115942	1.5524042272949e-08	6.26905956208256e-05	4.20279760392705
chr2:236450487-236450936	2	2	449	DistalRE	chr2	236450487	236450936	CPCG0265-F1,CPCG0268-F1	CPCG0265-F1,CPCG0268-F1	0.0044543429844098	1.59781053409032e-08	6.26905956208256e-05	4.20279760392705
chr4:40448875-40449156	2	2	281	DistalRE	chr4	40448875	40449156	CPCG0182-F1,CPCG0388-F1	CPCG0182-F1,CPCG0388-F1	0.00711743772241993	1.56295638439019e-08	6.26905956208256e-05	4.20279760392705
chr1:159927721-159928137	2	2	416	TAGLN2	chr1	159927721	159928137	CPCG0184-F1,CPCG0212-F1	CPCG0184-F1,CPCG0212-F1	0.00480769230769231	2.16264157157264e-08	7.6608327578793e-05	4.11572401855355
chr12:19375997-19376335	2	2	338	DistalRE	chr12	19375997	19376335	CPCG0128-F1,CPCG0206-F1	CPCG0128-F1,CPCG0206-F1	0.00591715976331361	2.19660206672604e-08	7.6608327578793e-05	4.11572401855355
chr18:74852710-74853026	2	2	316	DistalRE	chr18	74852710	74853026	CPCG0020-F1,CPCG0269-F1	CPCG0020-F1,CPCG0269-F1	0.00632911392405063	2.15560955631528e-08	7.6608327578793e-05	4.11572401855355
chr8:91683096-91683425	2	2	329	DistalRE	chr8	91683096	91683425	CPCG0001-F1,Weischenfeldt_04_T_wgs	CPCG0001-F1,Weischenfeldt_04_T_wgs	0.0060790273556231	2.01936716372396e-08	7.6608327578793e-05	4.11572401855355
chr16:89220420-89220698	2	2	278	ZNF778	chr16	89220420	89220698	CPCG0001-F1,CPCG0201-F1	CPCG0001-F1,CPCG0201-F1	0.00719424460431655	2.27895037447336e-08	7.73321773962849e-05	4.11163976147747
chr1:245406350-245406711	2	2	361	DistalRE	chr1	245406350	245406711	CPCG0210-F1,CPCG0211-F1	CPCG0210-F1,CPCG0211-F1	0.00554016620498615	2.58153257828155e-08	8.52945157371008e-05	4.06907889218165
chr11:15923298-15923739	2	2	441	DistalRE	chr11	15923298	15923739	CPCG0003-F1,CPCG0256-F1	CPCG0003-F1,CPCG0256-F1	0.00453514739229025	3.00081121530036e-08	9.41902126286516e-05	4.02599422270821
chr19:33798071-33798476	2	2	405	KCTD15	chr19	33798071	33798476	CPCG0090-F1,CPCG0183-F1	CPCG0090-F1,CPCG0183-F1	0.00493827160493827	2.96967141298611e-08	9.41902126286516e-05	4.02599422270821
chr3:116202027-116202401	2	2	374	DistalRE	chr3	116202027	116202401	Baca_06-1749_T_wgs,CPCG0006-F1	Baca_06-1749_T_wgs,CPCG0006-F1	0.0053475935828877	3.55304418515249e-08	0.000108803745506939	3.96335615404044
chr10:50627027-50627468	2	2	441	SGMS1	chr10	50627027	50627468	CPCG0246-F1,CPCG0404-F1	CPCG0246-F1,CPCG0404-F1	0.00453514739229025	4.44187749878309e-08	0.000111855459947662	3.95134281203881
chr13:109571657-109572318	2	2	661	DistalRE	chr13	109571657	109572318	CPCG0358-F1,CPCG0371-F1	CPCG0358-F1,CPCG0371-F1	0.00302571860816944	4.49952315562819e-08	0.000111855459947662	3.95134281203881
chr16:72974416-72974744	2	2	328	CTD-2326C4.1	chr16	72974416	72974744	Baca_03-2345_T_wgs,CPCG0350-F1	Baca_03-2345_T_wgs,CPCG0350-F1	0.00609756097560976	4.60733406742432e-08	0.000111855459947662	3.95134281203881
chr17:64271744-64272161	2	2	417	DistalRE	chr17	64271744	64272161	CPCG0087-F1,CPCG0266-F1	CPCG0087-F1,CPCG0266-F1	0.00479616306954436	3.97108697232991e-08	0.000111855459947662	3.95134281203881
chr2:148283172-148283989	2	2	817	DistalRE	chr2	148283172	148283989	Baca_09-628_T_wgs,CPCG0411-F1	Baca_09-628_T_wgs,CPCG0411-F1	0.00244798041615667	3.92058010853884e-08	0.000111855459947662	3.95134281203881
chr2:235916966-235917636	2	2	670	DistalRE	chr2	235916966	235917636	CPCG0266-F1,CPCG0355-F1	CPCG0266-F1,CPCG0355-F1	0.00298507462686567	4.62296742235196e-08	0.000111855459947662	3.95134281203881
chr20:37056302-37056672	2	2	370	DistalRE	chr20	37056302	37056672	CPCG0191-F1,CPCG0350-F1	CPCG0191-F1,CPCG0350-F1	0.00540540540540541	4.0403398750786e-08	0.000111855459947662	3.95134281203881
chr22:47197033-47197589	2	2	556	DistalRE	chr22	47197033	47197589	CPCG0158-F1,CPCG0352-F1	CPCG0158-F1,CPCG0352-F1	0.00359712230215827	4.61423462648975e-08	0.000111855459947662	3.95134281203881
chr3:188364466-188364877	2	2	411	DistalRE	chr3	188364466	188364877	Baca_07-4941_T_wgs,CPCG0341-F1	Baca_07-4941_T_wgs,CPCG0341-F1	0.0048661800486618	4.63269210395483e-08	0.000111855459947662	3.95134281203881
chr7:115317952-115318595	2	2	643	DistalRE	chr7	115317952	115318595	CPCG0409-F1,Weischenfeldt_04_T_wgs	CPCG0409-F1,Weischenfeldt_04_T_wgs	0.0031104199066874	4.25764516528393e-08	0.000111855459947662	3.95134281203881
chr7:30848633-30848915	2	2	282	DistalRE	chr7	30848633	30848915	Baca_04-1243_T_wgs,CPCG0378-F1	Baca_04-1243_T_wgs,CPCG0378-F1	0.00709219858156028	4.26995116676109e-08	0.000111855459947662	3.95134281203881
chr1:150178330-150178867	2	2	537	DistalRE	chr1	150178330	150178867	CPCG0083-F1,CPCG0260-F1	CPCG0083-F1,CPCG0260-F1	0.0037243947858473	5.22381824744082e-08	0.000112548503047974	3.94866027696136
chr1:154310088-154310478	2	2	390	DistalRE	chr1	154310088	154310478	CPCG0233-F1,CPCG0263-F1	CPCG0233-F1,CPCG0263-F1	0.00512820512820513	5.3965702134241e-08	0.000112548503047974	3.94866027696136
chr1:2013333-2014117	2	2	784	DistalRE	chr1	2013333	2014117	CPCG0095-F1,TCGA_7169_T1_wgs	CPCG0095-F1,TCGA_7169_T1_wgs	0.00255102040816327	6.07540394546279e-08	0.000112548503047974	3.94866027696136
chr1:229122282-229122932	2	2	650	DistalRE	chr1	229122282	229122932	Berger_3043_T_wgs,CPCG0243-F1	Berger_3043_T_wgs,CPCG0243-F1	0.00307692307692308	5.88740936668151e-08	0.000112548503047974	3.94866027696136
chr1:45637668-45638074	2	2	406	GPBP1L1	chr1	45637668	45638074	CPCG0350-F1,TCGA_7075_T1_wgs	CPCG0350-F1,TCGA_7075_T1_wgs	0.00492610837438424	5.84898857068003e-08	0.000112548503047974	3.94866027696136
chr1:78442483-78442951	2	2	468	DistalRE	chr1	78442483	78442951	CPCG0081-F1,CPCG0083-F1	CPCG0081-F1,CPCG0083-F1	0.00427350427350427	5.56625992366256e-08	0.000112548503047974	3.94866027696136
chr10:34037836-34038475	2	2	639	DistalRE	chr10	34037836	34038475	CPCG0334-F1,CPCG0342-F1	CPCG0334-F1,CPCG0342-F1	0.00312989045383412	6.9504117057969e-08	0.000112548503047974	3.94866027696136
chr11:99516629-99517071	2	2	442	DistalRE	chr11	99516629	99517071	Baca_07-4941_T_wgs,Baca_08-4154_T_wgs	Baca_07-4941_T_wgs,Baca_08-4154_T_wgs	0.00452488687782805	7.0866905926671e-08	0.000112548503047974	3.94866027696136
chr12:58552367-58552935	2	2	568	DistalRE	chr12	58552367	58552935	Baca_08-1541_T_wgs,Baca_08-217_T_wgs	Baca_08-1541_T_wgs,Baca_08-217_T_wgs	0.00352112676056338	7.17137801871555e-08	0.000112548503047974	3.94866027696136
chr17:10601793-10602286	2	2	493	DistalRE	chr17	10601793	10602286	CPCG0083-F1,CPCG0158-F1	CPCG0083-F1,CPCG0158-F1	0.00405679513184584	6.83582476048651e-08	0.000112548503047974	3.94866027696136
chr18:70211596-70212192	2	2	596	DistalRE	chr18	70211596	70212192	CPCG0241-F1,CPCG0243-F1	CPCG0241-F1,CPCG0243-F1	0.00335570469798658	5.4838513529789e-08	0.000112548503047974	3.94866027696136
chr19:11454948-11455513	2	2	565	DistalRE	chr19	11454948	11455513	CPCG0057-F1,Weischenfeldt_010_T_wgs	CPCG0057-F1,Weischenfeldt_010_T_wgs	0.00353982300884956	5.43286680231489e-08	0.000112548503047974	3.94866027696136
chr2:115300738-115301415	2	2	677	DistalRE	chr2	115300738	115301415	CPCG0189-F1,CPCG0191-F1	CPCG0189-F1,CPCG0191-F1	0.00295420974889217	7.07692788259738e-08	0.000112548503047974	3.94866027696136
chr20:43480053-43480714	2	2	661	DistalRE	chr20	43480053	43480714	Baca_05-1657_T_wgs,Berger_0508_T_wgs	Baca_05-1657_T_wgs,Berger_0508_T_wgs	0.00302571860816944	5.46453242791503e-08	0.000112548503047974	3.94866027696136
chr21:37719446-37720066	2	2	620	KCNJ6-AS1	chr21	37719446	37720066	CPCG0094-F1,CPCG0263-F1	CPCG0094-F1,CPCG0263-F1	0.0032258064516129	6.75230009095655e-08	0.000112548503047974	3.94866027696136
chr3:49141976-49142656	2	2	680	DistalRE	chr3	49141976	49142656	CPCG0256-F1,TCGA_5750_T1_wgs	CPCG0256-F1,TCGA_5750_T1_wgs	0.00294117647058824	6.44377368119173e-08	0.000112548503047974	3.94866027696136
chr4:124307448-124308216	2	2	768	DistalRE	chr4	124307448	124308216	CPCG0154-F1,CPCG0374-F1	CPCG0154-F1,CPCG0374-F1	0.00260416666666667	7.10746884591478e-08	0.000112548503047974	3.94866027696136
chr4:147055822-147056428	2	2	606	DistalRE	chr4	147055822	147056428	CPCG0128-F1,CPCG0205-F1	CPCG0128-F1,CPCG0205-F1	0.0033003300330033	4.76408850039193e-08	0.000112548503047974	3.94866027696136
chr4:91678482-91679080	2	2	598	DistalRE	chr4	91678482	91679080	CPCG0124-F1,CPCG0154-F1	CPCG0124-F1,CPCG0154-F1	0.00334448160535117	6.08655346422952e-08	0.000112548503047974	3.94866027696136
chr5:138739237-138740138	2	2	901	DistalRE	chr5	138739237	138740138	CPCG0342-F1,CPCG0365-F1	CPCG0342-F1,CPCG0365-F1	0.00221975582685905	7.05341363952956e-08	0.000112548503047974	3.94866027696136
chr5:140729496-140730251	2	2	755	DistalRE	chr5	140729496	140730251	TCGA_7169_T1_wgs,Weischenfeldt_04_T_wgs	TCGA_7169_T1_wgs,Weischenfeldt_04_T_wgs	0.00264900662251656	6.36020600038e-08	0.000112548503047974	3.94866027696136
chr5:149336301-149337017	2	2	716	DistalRE	chr5	149336301	149337017	CPCG0184-F1,CPCG0206-F1	CPCG0184-F1,CPCG0206-F1	0.00279329608938547	7.14455442034711e-08	0.000112548503047974	3.94866027696136
chr6:168596996-168597619	2	2	623	DistalRE	chr6	168596996	168597619	CPCG0020-F1,CPCG0262-F1	CPCG0020-F1,CPCG0262-F1	0.00321027287319422	7.03254324609083e-08	0.000112548503047974	3.94866027696136
chr6:36562750-36563643	2	2	893	DistalRE	chr6	36562750	36563643	CPCG0352-F1,CPCG0387-F1	CPCG0352-F1,CPCG0387-F1	0.00223964165733483	6.32653621613063e-08	0.000112548503047974	3.94866027696136
chr8:144134643-144135226	2	2	583	DistalRE	chr8	144134643	144135226	Baca_07-5037_T_wgs,CPCG0380-F1	Baca_07-5037_T_wgs,CPCG0380-F1	0.00343053173241852	6.73936427966837e-08	0.000112548503047974	3.94866027696136
chr8:23652709-23653203	2	2	494	DistalRE	chr8	23652709	23653203	Baca_04-1243_T_wgs,CPCG0184-F1	Baca_04-1243_T_wgs,CPCG0184-F1	0.00404858299595142	7.034105799003e-08	0.000112548503047974	3.94866027696136
chr8:25953564-25954187	2	2	623	DistalRE	chr8	25953564	25954187	Baca_STID0000002525_T_wgs,CPCG0123-F1	Baca_STID0000002525_T_wgs,CPCG0123-F1	0.00321027287319422	5.99234117795103e-08	0.000112548503047974	3.94866027696136
chrX:11325381-11325748	2	2	367	DistalRE	chrX	11325381	11325748	CPCG0378-F1,CPCG0412-F1	CPCG0378-F1,CPCG0412-F1	0.00544959128065395	5.54139234002432e-08	0.000112548503047974	3.94866027696136
chr17:20840044-20840812	2	2	768	DistalRE	chr17	20840044	20840812	CPCG0413-F1,CPCG0073-F1	CPCG0413-F1,CPCG0073-F1	0.00260416666666667	7.37817054044078e-08	0.000114364376032588	3.94170923517445
chr19:12845192-12845729	2	2	537	MAST1	chr19	12845192	12845729	CPCG0121-F1,CPCG0249-F1	CPCG0121-F1,CPCG0249-F1	0.0037243947858473	7.52197497514735e-08	0.000115171527323741	3.93865487381697
chr1:79756550-79757396	2	2	846	DistalRE	chr1	79756550	79757396	Baca_08-784_T_wgs,TCGA_7233_T1_wgs	Baca_08-784_T_wgs,TCGA_7233_T1_wgs	0.00236406619385343	7.9867023825358e-08	0.000117744508273633	3.92905933967318
chr15:58902763-58903392	2	2	629	DistalRE	chr15	58902763	58903392	Baca_07-5037_T_wgs,CPCG0189-F1	Baca_07-5037_T_wgs,CPCG0189-F1	0.00317965023847377	8.07807646627095e-08	0.000117744508273633	3.92905933967318
chr17:6280354-6280886	2	2	532	DistalRE	chr17	6280354	6280886	Baca_07-5037_T_wgs,Baca_08-716_T_wgs	Baca_07-5037_T_wgs,Baca_08-716_T_wgs	0.0037593984962406	8.15892270181205e-08	0.000117744508273633	3.92905933967318
chr2:43811767-43812233	2	2	466	DistalRE	chr2	43811767	43812233	CPCG0063-F1,CPCG0340-F1	CPCG0063-F1,CPCG0340-F1	0.00429184549356223	8.05016077006186e-08	0.000117744508273633	3.92905933967318
chr3:98620455-98621038	2	2	583	DistalRE	chr3	98620455	98621038	CPCG0269-F1,CPCG0341-F1	CPCG0269-F1,CPCG0341-F1	0.00343053173241852	7.98096102611047e-08	0.000117744508273633	3.92905933967318
chr3:176929514-176930190	2	2	676	DistalRE	chr3	176929514	176930190	CPCG0404-F1,Weischenfeldt_07_T_wgs	CPCG0404-F1,Weischenfeldt_07_T_wgs	0.0029585798816568	8.28085544058645e-08	0.000118146163992267	3.92758037461592
chr15:60907510-60908136	2	2	626	DistalRE	chr15	60907510	60908136	CPCG0324-F1,CPCG0354-F1	CPCG0324-F1,CPCG0354-F1	0.00319488817891374	8.47164489746784e-08	0.000118182270201309	3.92744767177358
chr9:134420446-134421072	2	2	626	DistalRE	chr9	134420446	134421072	Baca_03-3125_T_wgs,CPCG0154-F1	Baca_03-3125_T_wgs,CPCG0154-F1	0.00319488817891374	8.47164489746781e-08	0.000118182270201309	3.92744767177358
chr3:37905447-37906181	2	2	734	DistalRE	chr3	37905447	37906181	CPCG0094-F1,CPCG0339-F1	CPCG0094-F1,CPCG0339-F1	0.00272479564032698	8.59914883756925e-08	0.000118642740000366	3.92575883202942
chr3:172364285-172364810	2	2	525	DistalRE	chr3	172364285	172364810	CPCG0242-F1,CPCG0410-F1	CPCG0242-F1,CPCG0410-F1	0.00380952380952381	8.73941533354932e-08	0.000119267371018817	3.92347835368661
chr9:32404763-32405331	2	2	568	DistalRE	chr9	32404763	32405331	Baca_05-3595_T_wgs,CPCG0334-F1	Baca_05-3595_T_wgs,CPCG0334-F1	0.00352112676056338	9.07598959390559e-08	0.000122528787256304	3.91176186495004
chr3:174058267-174059471	2	2	1204	DistalRE	chr3	174058267	174059471	CPCG0324-F1,CPCG0344-F1	CPCG0324-F1,CPCG0344-F1	0.00166112956810631	9.46261380165226e-08	0.00012638931389775	3.89828964370733
chr14:22543567-22544373	2	2	806	TRAJ1,TRAJ2,TRAJ3	chr14	22543567	22544373	CPCG0266-F1,Weischenfeldt_010_T_wgs	CPCG0266-F1,Weischenfeldt_010_T_wgs	0.00248138957816377	9.7011503439698e-08	0.000126417329870444	3.89819338688263
chr17:40826969-40827692	2	2	723	DistalRE	chr17	40826969	40827692	CPCG0255-F1,CPCG0410-F1	CPCG0255-F1,CPCG0410-F1	0.00276625172890733	9.76677657836378e-08	0.000126417329870444	3.89819338688263
chr2:99096352-99096924	2	2	572	DistalRE	chr2	99096352	99096924	Baca_07-837_T_wgs,CPCG0260-F1	Baca_07-837_T_wgs,CPCG0260-F1	0.0034965034965035	9.66444568452433e-08	0.000126417329870444	3.89819338688263
chr20:37233292-37234131	2	2	839	DistalRE	chr20	37233292	37234131	CPCG0006-F1,CPCG0255-F1	CPCG0006-F1,CPCG0255-F1	0.00238379022646007	1.01589138459425e-07	0.000128860406255061	3.88988050379789
chr3:156838076-156838725	2	2	649	DistalRE	chr3	156838076	156838725	CPCG0057-F1,CPCG0255-F1	CPCG0057-F1,CPCG0255-F1	0.00308166409861325	1.016079282793e-07	0.000128860406255061	3.88988050379789
chr12:34175034-34175611	2	2	577	DistalRE	chr12	34175034	34175611	Baca_08-1541_T_wgs,TCGA_5750_T1_wgs	Baca_08-1541_T_wgs,TCGA_5750_T1_wgs	0.00346620450606586	1.10546103430044e-07	0.000132184713561451	3.87881876572607
chr12:60237049-60237743	2	2	694	DistalRE	chr12	60237049	60237743	CPCG0334-F1,CPCG0341-F1	CPCG0334-F1,CPCG0341-F1	0.00288184438040346	1.10082541810735e-07	0.000132184713561451	3.87881876572607
chr17:25574245-25575205	2	2	960	DistalRE	chr17	25574245	25575205	CPCG0392-F1,CPCG0413-F1	CPCG0392-F1,CPCG0413-F1	0.00208333333333333	1.069247958466e-07	0.000132184713561451	3.87881876572607
chr21:16251328-16251975	2	2	647	DistalRE	chr21	16251328	16251975	CPCG0236-F1,CPCG0356-F1	CPCG0236-F1,CPCG0356-F1	0.00309119010819165	1.06438943830187e-07	0.000132184713561451	3.87881876572607
chr4:87305208-87305678	2	2	470	DistalRE	chr4	87305208	87305678	Baca_05-620_T_wgs,TCGA_5788_T1_wgs	Baca_05-620_T_wgs,TCGA_5788_T1_wgs	0.00425531914893617	1.10432819399296e-07	0.000132184713561451	3.87881876572607
chr7:107508307-107509444	2	2	1137	DistalRE	chr7	107508307	107509444	CPCG0340-F1,Weischenfeldt_06_T_wgs	CPCG0340-F1,Weischenfeldt_06_T_wgs	0.00175901495162709	1.07405301482111e-07	0.000132184713561451	3.87881876572607
chr19:8459611-8460090	2	2	479	HNRNPM	chr19	8459611	8460090	Baca_08-716_T_wgs,CPCG0233-F1	Baca_08-716_T_wgs,CPCG0233-F1	0.00417536534446764	1.12592531897622e-07	0.000133361605257945	3.87496918559703
chr1:69784551-69785554	2	2	1003	DistalRE	chr1	69784551	69785554	Baca_03-1426_T_wgs,CPCG0346-F1	Baca_03-1426_T_wgs,CPCG0346-F1	0.00199401794616152	1.16721602941466e-07	0.000135459950622654	3.868189087037
chr17:56494755-56495429	2	2	674	DistalRE	chr17	56494755	56495429	Baca_04-1243_T_wgs,CPCG0243-F1	Baca_04-1243_T_wgs,CPCG0243-F1	0.0029673590504451	1.15513605335964e-07	0.000135459950622654	3.868189087037
chr7:2900225-2900914	2	2	689	DistalRE	chr7	2900225	2900914	Baca_05-1657_T_wgs,TCGA_5750_T1_wgs	Baca_05-1657_T_wgs,TCGA_5750_T1_wgs	0.00290275761973875	1.17600810955288e-07	0.000135459950622654	3.868189087037
chr21:36628592-36629290	2	2	698	DistalRE	chr21	36628592	36629290	Baca_06-3199_T_wgs,CPCG0354-F1	Baca_06-3199_T_wgs,CPCG0354-F1	0.00286532951289398	1.20694928402325e-07	0.000137760094051792	3.8608765693881
chr17:31238951-31239967	2	2	1016	DistalRE	chr17	31238951	31239967	Baca_STID0000002682_T_wgs,CPCG0256-F1	Baca_STID0000002682_T_wgs,CPCG0256-F1	0.00196850393700787	1.24417896647051e-07	0.000139473573015422	3.85550807325653
