ensembl_gene_id	hgnc_symbol	chromosome_name	start_position	end_position	band
ENSG00000261741	FRG2KP	16	31563082	31567716	p11.2
ENSG00000183668	PSG9	19	43211791	43269530	q13.31
ENSG00000168229	PTGDR	14	52267713	52276724	q22.1
ENSG00000251627		5	110983563	110984466	q22.1
ENSG00000211869	TRAJ20	14	22524325	22524381	q11.2
ENSG00000258760		14	65236480	65318790	q23.3
ENSG00000259126		14	44392531	44393716	q21.2
ENSG00000179381	OR4K11P	21	13544210	13545185	q11.2
ENSG00000232974	RPS17P1	CHR_HSCHR6_MHC_APD_CTG1	29489340	29489745	
ENSG00000240411	RPL5P16	5	82777797	82778586	q14.2
ENSG00000258613	RPL21P7	14	65266638	65267690	q23.3
ENSG00000205025	OR5G5P	11	56801856	56820422	q12.1
ENSG00000279924		13	18174010	18178465	q11
ENSG00000273863		Y	7905536	7907303	p11.2
ENSG00000228159	LINC01674	21	13546033	13558461	q11.2
ENSG00000278743		12	25385670	25386241	p12.1
ENSG00000153404	PLEKHG4B	5	92151	189972	p15.33
ENSG00000211870	TRAJ19	14	22525263	22525322	q11.2
ENSG00000280022		17	45592621	45593369	q21.31
ENSG00000198833	UBE2J1	6	89326625	89352848	q15
ENSG00000280385		11	90193614	90198120	q14.3
ENSG00000248105		5	82824884	82825184	q14.2
ENSG00000231265	TRERNA1	20	50040716	50041504	q13.13
ENSG00000259078	PTBP1P	14	65279267	65281166	q23.3
ENSG00000274348	TRPV5	CHR_HSCHR7_2_CTG6	142969288	142994995	
ENSG00000211871	TRAJ18	14	22525650	22525715	q11.2
ENSG00000271449	CT45A2	X	135811668	135820012	q26.3
ENSG00000172350	ABCG4	11	119149012	119162653	q23.3
ENSG00000122543	OCM	7	5879827	5886362	p22.1
ENSG00000237929	RPL31P3	20	31311303	31311962	q11.21
ENSG00000261614	YBX3P1	16	31568386	31569475	p11.2
ENSG00000244246	ZNF736P8Y	Y	7913422	7914090	p11.2
ENSG00000211872	TRAJ17	14	22526844	22526906	q11.2
ENSG00000112214	FHL5	6	96562548	96616636	q16.1
ENSG00000281327	LINC01338	5	82850864	82859836	q14.2
ENSG00000214759		14	65268829	65269098	q23.3
ENSG00000272780		17	21532477	21574517	p11.2
ENSG00000198787	OR4D12P	4	4126659	4127569	p16.3
ENSG00000260010	ZNF720P1	16	31601593	31603531	p11.2
ENSG00000241356	OR5G3	11	56819573	56820516	q12.1
ENSG00000211873	TRAJ16	14	22528527	22528586	q11.2
ENSG00000229745	BPY2DP	Y	7932997	7937640	p11.2
ENSG00000187189	TSPYL4	6	116249961	116254140	q22.1
ENSG00000105464	GRIN2D	19	48394875	48444931	q13.33
ENSG00000258556	LINC02322	14	60323236	60323907	q23.1
ENSG00000241200	ZNF736P7Y	Y	7990987	7991806	p11.2
ENSG00000205763	RP9P	7	32916815	32943176	p14.3
ENSG00000241527	CA15P1	22	19031564	19034564	q11.21
ENSG00000266050		17	21566569	21574517	p11.2
ENSG00000237302	OFD1P11Y	Y	23771232	23798150	q11.223
ENSG00000248112		5	82919376	82921119	q14.2
ENSG00000260615	RPL23AP97	13	114346167	114346637	q34
ENSG00000261208		14	52286797	52289268	q22.1
ENSG00000212719	C17orf51	17	21524790	21574458	p11.2
ENSG00000249857		5	82940458	82940983	q14.2
ENSG00000250381	UNC93B4	4	4143458	4150421	p16.3
ENSG00000254084		8	101411873	101452452	q22.3
ENSG00000106771	TMEM245	9	109015152	109119945	q31.3
ENSG00000248400	ST13P12	5	82968888	82977153	q14.2
ENSG00000180846	CSNK1G2-AS1	19	1952531	1954586	p13.3
ENSG00000107833	NPM3	10	101781325	101783413	q24.32
ENSG00000250710	OR7E99P	4	4156522	4157443	p16.3
ENSG00000217801		1	1059734	1069355	p36.33
ENSG00000158571	PFKFB1	X	54932961	54998534	p11.21
ENSG00000141574	SECTM1	17	82321024	82334074	q25.3
ENSG00000254331	CKS1BP7	8	80644939	80645173	q21.13
ENSG00000239893	ZNF736P9Y	Y	8068896	8070723	p11.2
ENSG00000229558	SACS-AS1	13	23418971	23428869	q12.12
ENSG00000164684	ZNF704	8	80628451	80874781	q21.13
ENSG00000232163	RPLP1P13	13	23373423	23374061	q12.12
ENSG00000233682		6	159165899	159170007	q25.3
ENSG00000125384	PTGER2	14	52314305	52328606	q22.1
ENSG00000211875	TRAJ14	14	22530327	22530378	q11.2
ENSG00000249664		5	83012285	83013109	q14.2
ENSG00000151835	SACS	13	23328826	23433740	q12.12
ENSG00000213020	ZNF611	19	52702813	52735073	q13.41
ENSG00000133275	CSNK1G2	19	1941149	1981338	p13.3
ENSG00000253926		8	129415949	129445852	q24.21
ENSG00000235086	FNDC1-IT1	6	159240786	159243329	q25.3
ENSG00000236415	PPIAP9	CHR_HSCHR6_MHC_COX_CTG1	31506943	31507754	
ENSG00000229140	CCDC26	8	128634199	129683679	q24.21
ENSG00000251423		5	13860303	13900749	p15.2
ENSG00000271862		5	83049376	83050964	q14.2
ENSG00000164694	FNDC1	6	159169397	159272109	q25.3
ENSG00000170367	CST5	20	23875935	23879750	p11.21
ENSG00000176209	SMIM19	8	42541155	42555193	p11.21
ENSG00000211876	TRAJ13	14	22531076	22531138	q11.2
ENSG00000039139	DNAH5	5	13690331	13944543	p15.2
ENSG00000220204		11	34404663	34404949	p13
ENSG00000259681		15	45558598	45562877	q21.1
ENSG00000257009		12	25585994	25592928	p12.1
ENSG00000101230	ISM1	20	13221771	13300651	p12.1
ENSG00000266673		17	21552509	21552711	p11.2
ENSG00000166920	C15orf48	15	45430529	45448761	q21.1
ENSG00000204590	GNL1	6	30541377	30557174	p21.33
ENSG00000249844	OR7E43P	4	4174319	4175238	p16.3
ENSG00000266466		17	21532974	21542786	p11.2
ENSG00000216708	CIR1P3	11	34430880	34431649	p13
ENSG00000256079		12	25435581	25436238	p12.1
ENSG00000264245		17	21573770	21574073	p11.2
ENSG00000279173		12	25423600	25424942	p12.1
ENSG00000211877	TRAJ12	14	22531939	22531998	q11.2
ENSG00000241846		12	25409293	25409445	p12.1
ENSG00000255988	TUBB4BP1	12	25440875	25441052	p12.1
ENSG00000230211	RPL15P4	CHR_HSCHR6_MHC_COX_CTG1	31515566	31516145	
ENSG00000102900	NUP93	16	56730105	56850286	q13
ENSG00000005007	UPF1	19	18831938	18868236	p13.11
ENSG00000184731	FAM110C	2	38814	46870	p25.3
ENSG00000280635	PROP1	CHR_HSCHR5_2_CTG5	177996182	177996994	
ENSG00000253153		8	101562008	101562488	q22.3
ENSG00000188833	ENTPD8	9	137434364	137441816	q34.3
ENSG00000225254	ARMC8P1	9	38452782	38454070	p13.1
ENSG00000152936	LMNTD1	12	25409307	25648579	p12.1
ENSG00000273443		1	1062208	1063288	p36.33
ENSG00000253991		8	101528723	101529569	q22.3
ENSG00000204860	FAM201A	9	38620474	38624990	p13.1
ENSG00000121057	AKAP1	17	57085092	57121349	q22
ENSG00000254024		8	101461177	101492499	q22.3
ENSG00000124370	MCEE	2	71109684	71130239	p13.3
ENSG00000228476	CSTP1	20	23918771	23922169	p11.21
ENSG00000226263	ISM1-AS1	20	13237801	13239674	p12.1
ENSG00000083307	GRHL2	8	101492432	101669726	q22.3
ENSG00000225956		20	13244064	13245369	p12.1
ENSG00000276739	KIR3DL2	CHR_HSCHR19LRC_LRC_S_CTG3_1	54857994	54874788	
ENSG00000236195	RNMTL1P2	7	17962079	17963029	p21.1
ENSG00000250240		5	95701249	95732295	q15
ENSG00000253225		8	129250967	129251138	q24.21
ENSG00000280340		7	18000290	18000879	p21.1
ENSG00000272904		9	38542479	38568422	p13.1
ENSG00000224753		CHR_HSCHR6_MHC_APD_CTG1	29497578	29510624	
ENSG00000253516	HMGB1P41	8	80812142	80812581	q21.13
ENSG00000227374		10	129768844	129769435	q26.3
ENSG00000236168		20	23980585	23980734	p11.21
ENSG00000243085		9	38526831	38527032	p13.1
ENSG00000178917	ZNF852	3	44498970	44510636	p21.31
ENSG00000164292	RHOBTB3	5	95713522	95824383	q15
ENSG00000229511	GAS2L1P1	9	38486859	38488338	p13.1
ENSG00000235788	LINC01015	CHR_HSCHR6_MHC_APD_CTG1	29529494	29533642	
ENSG00000215165	TCEA1P3	9	38478471	38479350	p13.1
ENSG00000229937	PRPS1L1	7	18026774	18027863	p21.1
ENSG00000251552	COQ10BP2	5	83279921	83280644	q14.2
ENSG00000250989		9	38543104	38543446	p13.1
ENSG00000174695	TMEM167A	5	83052846	83077863	q14.2
ENSG00000237185	VN1R66P	16	31648307	31649222	p11.2
ENSG00000283162		9	38433696	38543880	p13.1
ENSG00000267433		19	29901696	29901869	q12
ENSG00000244687	UBE2V1	20	50081124	50115959	q13.13
ENSG00000279516	FAM230C	13	18195297	18232024	q11
ENSG00000283486	FAM95C	9	38540569	38577207	p13.1
ENSG00000217648		6	143342246	143343383	q24.2
ENSG00000151553	FAM160B1	10	114821744	114899832	q25.3
ENSG00000279081		13	18206570	18207466	q11
ENSG00000270655		6	143386581	143387409	q24.2
ENSG00000227576	GPR53P	CHR_HSCHR6_MHC_APD_CTG1	29537778	29538861	
ENSG00000272682		22	19124309	19128449	q11.21
ENSG00000265688	MAFG-DT	17	81927829	81930753	q25.3
ENSG00000223461		22	19121529	19124503	q11.21
ENSG00000218839	FAM138C	9	34394	37269	p24.3
ENSG00000231086	TSSK1A	22	19124879	19125646	q11.21
ENSG00000167103	PIP5KL1	9	127920879	127930797	q34.11
ENSG00000263677		18	26688111	26689668	q11.2
ENSG00000281530		22	19061041	19061843	q11.21
ENSG00000266549		18	26952201	26952558	q11.2
ENSG00000273311	DGCR11	22	19046162	19048375	q11.21
ENSG00000011260	UTP18	17	51260528	51297936	q21.33
ENSG00000263846	CIAPIN1P	18	26599408	26600338	q11.2
ENSG00000070413	DGCR2	22	19036282	19122454	q11.21
ENSG00000260372	AQP4-AS1	18	26655742	27190698	q11.2
ENSG00000272934		9	38542389	38543215	p13.1
ENSG00000214825	EI24P3	3	44524744	44525805	p21.31
ENSG00000176007	FAM220BP	9	38527097	38527912	p13.1
ENSG00000264006	AKR1C8P	10	5154143	5185187	p15.1
ENSG00000251489		4	69888877	69889406	q13.3
ENSG00000170035	UBE2E3	2	180967248	181076585	q31.3
ENSG00000244158		6	116460739	116463692	q22.1
ENSG00000275709		15	45585757	45586304	q21.1
ENSG00000188747	NOXA1	9	137423350	137434406	q34.3
ENSG00000181404	WASHC1	9	14521	73865	p24.3
ENSG00000259427	DPPA5P2	15	45566776	45567074	q21.1
ENSG00000233200		10	35219894	35230598	p11.21
ENSG00000111817	DSE	6	116254173	116444860	q22.1
ENSG00000104154	SLC30A4	15	45479611	45522807	q21.1
ENSG00000254165		8	42537529	42538304	p11.21
ENSG00000254131		8	42484600	42485019	p11.21
ENSG00000243385		5	83201229	83202141	q14.2
ENSG00000271088		X	35741600	35744582	p21.1
ENSG00000152422	XRCC4	5	83077498	83353787	q14.2
ENSG00000168575	SLC20A2	8	42416475	42541926	p11.21
ENSG00000233880		X	35761499	35762479	p21.1
ENSG00000100097	LGALS1	22	37675608	37679806	q13.1
ENSG00000136828	RALGPS1	9	126914774	127223166	q33.3
ENSG00000267752	RPS10P27	18	23672253	23672748	q11.2
ENSG00000253613		5	111076921	111092115	q22.1
ENSG00000164048	ZNF589	3	48241100	48299253	p21.31
ENSG00000134987	WDR36	5	111091716	111130502	q22.1
ENSG00000189023	MAGEB16	X	35798342	35803735	p21.1
ENSG00000275805		18	26565723	26575626	q11.2
ENSG00000073464	CLCN4	X	10156945	10237660	p22.2
ENSG00000277631	PGM5P3-AS1	9	72674	88826	p24.3
ENSG00000171885	AQP4	18	26852038	26865818	q11.2
ENSG00000258764		14	60544400	60544654	q23.1
ENSG00000258427	RBM8B	14	60397757	60398281	q23.1
ENSG00000258670		14	60515119	60554916	q23.1
ENSG00000122674	CCZ1	7	5898725	5926550	p22.1
ENSG00000179362	HMGN2P46	15	45511136	45586290	q21.1
ENSG00000259169	GNRHR2P1	14	60398934	60400013	q23.1
ENSG00000271519		X	35864858	35869631	p21.1
ENSG00000236409	NRADDP	3	47010824	47013465	p21.31
ENSG00000179008	C14orf39	14	60396469	60515543	q23.1
ENSG00000244251		15	40480752	40481315	q15.1
ENSG00000164508	HIST1H2AA	6	25726132	25726527	p22.2
ENSG00000259342		15	45430652	45441808	q21.1
ENSG00000226334		9	104927553	104928892	q31.1
ENSG00000259354		15	45448427	45513767	q21.1
ENSG00000125910	S1PR4	19	3172346	3180332	p13.3
ENSG00000165029	ABCA1	9	104781002	104928237	q31.1
ENSG00000282406	TRMT112P4	CHR_HSCHR9_1_CTG5	101356497	101356875	
ENSG00000173221	GLRX	5	95751319	95823005	q15
ENSG00000260981		5	8785042	8785468	p15.31
ENSG00000236875	DDX11L5	9	12134	13783	p24.3
ENSG00000146047	HIST1H2BA	6	25726777	25727292	p22.2
ENSG00000284986		9	52452	73374	p24.3
ENSG00000227518		9	27657	30891	p24.3
ENSG00000274346		2	238454908	238457520	q37.3
ENSG00000276559	BAAT	CHR_HSCHR9_1_CTG5	101371093	101381063	
ENSG00000112715	VEGFA	6	43770184	43786487	p21.1
ENSG00000278895		19	29915862	29917830	q12
ENSG00000225493	LINC01107	2	238510690	238555054	q37.3
ENSG00000260631	RBM22P12	16	31680847	31682101	p11.2
ENSG00000204536	CCHCR1	6	31142439	31158238	p21.33
ENSG00000178762	HIST1H2BPS1	6	25731782	25732091	p22.2
ENSG00000229759	MRPS18AP1	3	48256350	48256938	p21.31
ENSG00000258487	LINC02277	14	44444747	44480618	q21.2
ENSG00000234279	LINC01937	2	238720324	238740780	q37.3
ENSG00000275812		20	63543411	63543738	q13.33
ENSG00000228638	FCF1P2	3	48290793	48291375	p21.31
ENSG00000267258	PPIAP58	19	29921182	29921653	q12
ENSG00000125508	SRMS	20	63540810	63547504	q13.33
ENSG00000224252		2	238735263	238735547	q37.3
ENSG00000227061		2	197569	202605	p25.3
ENSG00000167969	ECI1	16	2239395	2252300	p13.3
ENSG00000235974	VN2R19P	19	58012589	58025926	q13.43
ENSG00000226992		2	238788648	238789716	q37.3
ENSG00000172113	NME6	3	48290722	48301685	p21.31
ENSG00000189139	FSCB	14	44504342	44507279	q21.2
ENSG00000282159		CHR_HSCHR9_1_CTG5	101368525	101370831	
ENSG00000128891	CCDC32	15	40528683	40565057	q15.1
ENSG00000280185		5	8793875	8794197	p15.31
ENSG00000233608	TWIST2	2	238848032	238910543	q37.3
ENSG00000282798		19	69167	69972	p13.3
ENSG00000282458		19	60951	71626	p13.3
ENSG00000120210	INSL6	9	5131979	5185668	p24.1
ENSG00000189143	CLDN4	7	73799542	73832693	q11.23
ENSG00000273686	B2M	CHR_HSCHR15_3_CTG8	44711489	44718888	
ENSG00000274163	KIR3DP1	CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1	54786260	54790260	
ENSG00000257660		12	48789147	48790535	q13.12
ENSG00000278074	KIR2DL4	CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1	54803565	54814279	
ENSG00000282738		17	36161607	36162926	q12
ENSG00000276241		17	36116177	36177510	q12
ENSG00000227204	RBMY2JP	Y	8127130	8144203	p11.2
ENSG00000101391	CDK5RAP1	20	33358839	33401561	q11.21
ENSG00000274808	TBC1D3B	17	36165681	36176636	q12
ENSG00000111224	PARP11	12	3791047	3873448	p13.32
ENSG00000250198	LINC02199	5	8839732	8881525	p15.31
ENSG00000218153	KRT18P22	6	116457323	116458669	q22.1
ENSG00000227744	LINC01940	2	238919302	238926269	q37.3
ENSG00000258747		14	44507407	44538513	q21.2
ENSG00000226484		X	36365626	36440292	p21.1
ENSG00000285446		6	116399395	116463696	q22.1
ENSG00000217241	CBX3P9	6	116453014	116453565	q22.1
ENSG00000229384	HMGB1P16	X	36211096	36211635	p21.1
ENSG00000279635		5	8980404	8980659	p15.31
ENSG00000251348	HSPD1P11	5	95768999	95770700	q15
ENSG00000267570	STK25P1	18	12911186	12912023	p11.21
ENSG00000282542		19	68403	69178	p13.3
ENSG00000267336	EIF4A2P1	18	12912844	12913906	p11.21
ENSG00000271547		12	48800576	48801086	q13.12
ENSG00000189241	TSPYL1	6	116276578	116279903	q22.1
ENSG00000258692	SALL4P7	14	60493766	60496885	q23.1
ENSG00000165164	CFAP47	X	35919734	36385319	p21.1
ENSG00000262352	LINC02564	18	11103	15928	p11.32
ENSG00000231540	ELOCP9	Y	23808821	23809059	q11.23
ENSG00000175354	PTPN2	18	12785478	12929643	p11.21
ENSG00000263305		18	14195	16898	p11.32
ENSG00000174343	CHRNA9	4	40335329	40355217	p14
ENSG00000184302	SIX6	14	60508951	60512850	q23.1
ENSG00000270837	HNRNPDLP4	19	58049046	58049346	q13.43
ENSG00000269787	OR7A3P	19	14903232	14904138	p13.12
ENSG00000152467	ZSCAN1	19	58034032	58054631	q13.43
ENSG00000149435	GGTLC1	20	23985050	23988779	p11.21
ENSG00000233558		6	116258493	116259115	q22.1
ENSG00000185028	LRRC14B	5	191511	195353	p15.33
ENSG00000188820	CALHM6	6	116461370	116463779	q22.1
ENSG00000267783		19	14119106	14119537	p13.12
ENSG00000261434		5	195778	196341	p15.33
ENSG00000277414	LILRB5	CHR_HSCHR19LRC_COX1_CTG3_1	54250781	54257977	
ENSG00000105011	ASF1B	19	14119509	14136956	p13.12
ENSG00000270541		10	55746551	55746908	q21.1
ENSG00000260370		10	14061	16544	p15.3
ENSG00000214184	GCC2-AS1	2	108507515	108534196	q12.3
ENSG00000262181		18	45034	46047	p11.32
ENSG00000189332		11	18209138	18214562	p15.1
ENSG00000248537		5	9363275	9422481	p15.31
ENSG00000155026	RSPH10B	7	5925550	5970683	p22.1
ENSG00000135968	GCC2	2	108448561	108509415	q12.3
ENSG00000268660	LETM1P2	19	58044592	58046769	q13.43
ENSG00000251370	SEMA5A-AS1	5	9511333	9518086	p15.31
ENSG00000277509		3	44528955	44529391	p21.31
ENSG00000277534		18	26542971	26545791	q11.2
ENSG00000260774		5	213898	217279	p15.33
ENSG00000258998	LINC02302	14	44763157	44782829	q21.2
ENSG00000283141		10	129784983	129806971	q26.3
ENSG00000265369	PCAT18	18	26687621	26703638	q11.2
ENSG00000164366	CCDC127	5	196871	218215	p15.33
ENSG00000250001		5	9519853	9523178	p15.31
ENSG00000266184		18	26831520	26832432	q11.2
ENSG00000279698		5	9498401	9498775	p15.31
ENSG00000259000	DOCK11P1	14	44860316	44866247	q21.2
ENSG00000250619		5	9001774	9045940	p15.31
ENSG00000134504	KCTD1	18	26454910	26657401	q11.2
ENSG00000135175	OCM2	7	97984684	97991169	q21.3
ENSG00000237330	RNF223	1	1070966	1074307	p36.33
ENSG00000112902	SEMA5A	5	9035026	9546075	p15.31
ENSG00000258633		14	44876874	44897077	q21.2
ENSG00000259046		14	44888556	44889041	q21.2
ENSG00000258509		14	44887434	44887741	q21.2
ENSG00000231697	NANOGP5	9	100175178	100176054	q31.1
ENSG00000224124	POM121L10P	22	24657481	24658765	q11.23
ENSG00000237297		10	44712	46884	p15.3
ENSG00000275005		10	129845328	129845895	q26.3
ENSG00000238172	RPS2P35	9	100116755	100117651	q31.1
ENSG00000275327		10	129837505	129837794	q26.3
ENSG00000165105	RASEF	9	82979585	83063177	q21.32
ENSG00000108001	EBF3	10	129835283	129963841	q26.3
ENSG00000273696	CT45A7	X	135829247	135837268	q26.3
ENSG00000119509	INVS	9	100099256	100301000	q31.1
ENSG00000165171	METTL27	7	73834590	73842535	q11.23
ENSG00000223362	CDY15P	Y	23855522	23857091	q11.23
ENSG00000231579	RPL7P21	5	143332605	143333239	q31.3
ENSG00000173213	TUBB8P12	18	47390	49557	p11.32
ENSG00000263503	MAPK8IP1P2	17	45600869	45602340	q21.31
ENSG00000237106	FABP5P15	X	77727867	77728080	q21.1
ENSG00000113580	NR3C1	5	143277931	143435512	q31.3
ENSG00000228728	PPIAP91	X	150818753	150819246	q28
ENSG00000204652	RPS26P8	17	45608571	45608918	q21.31
ENSG00000260201		16	20580999	20586640	p12.3
ENSG00000101182	PSMA7	20	62136735	62143440	q13.33
ENSG00000282965		18	49815	73545	p11.32
ENSG00000085224	ATRX	X	77504878	77786269	q21.1
ENSG00000271824	SMIM32	5	136191468	136193134	q31.1
ENSG00000271172		4	25220403	25220913	p15.2
ENSG00000260762	ACSM5P1	16	20586550	20607107	p12.3
ENSG00000271530	WBP1LP12	6	95124	95454	p25.3
ENSG00000281028		4	25160663	25277306	p15.2
ENSG00000220212	OR4F1P	6	105919	106856	p25.3
ENSG00000281501	SEPSECS-AS1	4	25160641	25201440	p15.2
ENSG00000251568	ALG3P1	5	5375723	5376836	p15.32
ENSG00000261456	TUBB8	10	46892	74163	p15.3
ENSG00000273899	NOL12	22	37681673	37693478	q13.1
ENSG00000038210	PI4K2B	4	25233975	25279092	p15.2
ENSG00000271095	BNIP3P28	19	21997648	21998840	p12
ENSG00000248729	MTCO1P30	5	5395378	5395957	p15.32
ENSG00000149922	TBX6	16	30085793	30091887	p11.2
ENSG00000160321	ZNF208	19	21932958	22010949	p12
ENSG00000274942	KIR2DP1	CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1	54754928	54766523	
ENSG00000260472		16	31697397	31697607	p11.2
ENSG00000274406	KIR2DS4	CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1	54832654	54848284	
