affy_hg_u133_plus_2	hgnc_symbol	chromosome_name	start_position	end_position	band
	PRR3	6	30556886	30563723	p21.33
234820_at	MAS1L	CHR_HSCHR6_MHC_APD_CTG1	29486834	29487970	
		17	32083179	32097065	q11.2
224072_s_at	KCNK9	8	139600838	139703056	q24.3
238870_at	KCNK9	8	139600838	139703056	q24.3
	KCNK9	8	139600838	139703056	q24.3
226314_at	CHST14	15	40470998	40474571	q15.1
239064_at		2	218255319	218257366	q35
202833_s_at	SERPINA1	CHR_HSCHR14_7_CTG1	94378757	94392703	
211429_s_at	SERPINA1	CHR_HSCHR14_7_CTG1	94378757	94392703	
230318_at	SERPINA1	CHR_HSCHR14_7_CTG1	94378757	94392703	
	SERPINA1	CHR_HSCHR14_7_CTG1	94378757	94392703	
1554758_a_at	CD99L2	X	150766337	150898816	q28
223041_at	CD99L2	X	150766337	150898816	q28
233825_s_at	CD99L2	X	150766337	150898816	q28
	CD99L2	X	150766337	150898816	q28
203953_s_at	CLDN3	7	73768997	73770270	q11.23
203954_x_at	CLDN3	7	73768997	73770270	q11.23
		2	223965701	223967706	q36.1
		4	36311190	36392410	p14
227267_at	POC5	5	75674124	75717481	q13.3
	POC5	5	75674124	75717481	q13.3
1559313_at	SNX18P3	9	38566260	38568211	p13.1
	CEACAMP10	19	43211791	43248646	q13.31
224368_s_at	NDRG3	20	36651766	36746078	q11.23
217286_s_at	NDRG3	20	36651766	36746078	q11.23
221082_s_at	NDRG3	20	36651766	36746078	q11.23
	NDRG3	20	36651766	36746078	q11.23
217805_at	ILF3	19	10654261	10692417	p13.2
208930_s_at	ILF3	19	10654261	10692417	p13.2
211375_s_at	ILF3	19	10654261	10692417	p13.2
208931_s_at	ILF3	19	10654261	10692417	p13.2
	ILF3	19	10654261	10692417	p13.2
217804_s_at	ILF3	19	10654261	10692417	p13.2
205597_at	SLC44A4	CHR_HSCHR6_MHC_MCF_CTG1	31939669	31955518	
1555203_s_at	SLC44A4	CHR_HSCHR6_MHC_MCF_CTG1	31939669	31955518	
	SLC44A4	CHR_HSCHR6_MHC_MCF_CTG1	31939669	31955518	
222555_s_at	MRPL44	2	223957404	223967714	q36.1
218202_x_at	MRPL44	2	223957404	223967714	q36.1
		17	21457434	21458989	p11.2
201083_s_at	BCLAF1P1	5	110948029	110950780	q22.1
234901_at	OR5G1P	11	56775261	56776206	q12.1
	VN1R48P	9	38504447	38505482	p13.1
	DTHD1	4	36281622	36345756	p14
1564160_at	DTHD1	4	36281622	36345756	p14
		10	114764788	114779903	q25.3
		17	32088160	32094933	q11.2
		18	10622123	10622267	p11.22
	VN1R65P	16	31554105	31554912	p11.2
		4	4117925	4118284	p16.3
		14	65234515	65235101	q23.3
244297_at		9	38540567	38542792	p13.1
		9	38540567	38542792	p13.1
	RPL21P120	17	21504558	21505059	p11.2
	DUXAP2	8	101366417	101367005	q22.3
	TRAJ22	14	22522040	22522102	q11.2
243721_at	LINC01887	18	10612304	10626353	p11.22
221374_at	FGF16	X	77447405	77457278	q21.1
211445_x_at	NACAP1	8	101361794	101372707	q22.3
	OR5G4P	11	56790206	56790965	q12.1
		17	21519514	21521269	p11.2
		19	35947115	35959192	q13.12
		5	110970951	111008899	q22.1
	TMEM244	6	129831244	129861547	q22.33
	TRAJ21	14	22523600	22523654	q11.2
1559406_at	ANKRD18A	9	38571358	38620660	p13.1
	ANKRD18A	9	38571358	38620660	p13.1
1552311_a_at	RAX2	19	3769089	3772221	p13.3
	TAF9BP2	10	114809375	114811170	q25.3
		19	35957121	35957382	q13.12
		16	31566360	31567000	p11.2
		8	101387299	101393186	q22.3
1552501_a_at	GPBAR1	2	218259496	218263859	q35
	FRG2KP	16	31563082	31567716	p11.2
209594_x_at	PSG9	19	43211791	43269530	q13.31
207733_x_at	PSG9	19	43211791	43269530	q13.31
210126_at	PSG9	19	43211791	43269530	q13.31
215894_at	PTGDR	14	52267713	52276724	q22.1
234165_at	PTGDR	14	52267713	52276724	q22.1
		5	110983563	110984466	q22.1
	TRAJ20	14	22524325	22524381	q11.2
		14	65236480	65318790	q23.3
		14	44392531	44393716	q21.2
	OR4K11P	21	13544210	13545185	q11.2
	RPS17P1	CHR_HSCHR6_MHC_APD_CTG1	29489340	29489745	
	RPL5P16	5	82777797	82778586	q14.2
	RPL21P7	14	65266638	65267690	q23.3
	OR5G5P	11	56801856	56820422	q12.1
		13	18174010	18178465	q11
		Y	7905536	7907303	p11.2
	LINC01674	21	13546033	13558461	q11.2
		12	25385670	25386241	p12.1
236255_at	PLEKHG4B	5	92151	189972	p15.33
230441_at	PLEKHG4B	5	92151	189972	p15.33
	PLEKHG4B	5	92151	189972	p15.33
	TRAJ19	14	22525263	22525322	q11.2
		17	45592621	45593369	q21.31
217826_s_at	UBE2J1	6	89326625	89352848	q15
217823_s_at	UBE2J1	6	89326625	89352848	q15
217825_s_at	UBE2J1	6	89326625	89352848	q15
217824_at	UBE2J1	6	89326625	89352848	q15
222435_s_at	UBE2J1	6	89326625	89352848	q15
		11	90193614	90198120	q14.3
		5	82824884	82825184	q14.2
	TRERNA1	20	50040716	50041504	q13.13
	PTBP1P	14	65279267	65281166	q23.3
208267_at	TRPV5	CHR_HSCHR7_2_CTG6	142969288	142994995	
1555042_at	TRPV5	CHR_HSCHR7_2_CTG6	142969288	142994995	
	TRAJ18	14	22525650	22525715	q11.2
1567912_s_at	CT45A2	X	135811668	135820012	q26.3
235700_at	CT45A2	X	135811668	135820012	q26.3
207593_at	ABCG4	11	119149012	119162653	q23.3
	ABCG4	11	119149012	119162653	q23.3
207944_at	OCM	7	5879827	5886362	p22.1
	RPL31P3	20	31311303	31311962	q11.21
	YBX3P1	16	31568386	31569475	p11.2
	ZNF736P8Y	Y	7913422	7914090	p11.2
	TRAJ17	14	22526844	22526906	q11.2
	FHL5	6	96562548	96616636	q16.1
220170_at	FHL5	6	96562548	96616636	q16.1
1555191_a_at	FHL5	6	96562548	96616636	q16.1
	LINC01338	5	82850864	82859836	q14.2
		14	65268829	65269098	q23.3
228146_at		17	21532477	21574517	p11.2
	OR4D12P	4	4126659	4127569	p16.3
	ZNF720P1	16	31601593	31603531	p11.2
	OR5G3	11	56819573	56820516	q12.1
	TRAJ16	14	22528527	22528586	q11.2
	BPY2DP	Y	7932997	7937640	p11.2
212928_at	TSPYL4	6	116249961	116254140	q22.1
207036_x_at	GRIN2D	19	48394875	48444931	q13.33
229883_at	GRIN2D	19	48394875	48444931	q13.33
	LINC02322	14	60323236	60323907	q23.1
	ZNF736P7Y	Y	7990987	7991806	p11.2
227640_s_at	RP9P	7	32916815	32943176	p14.3
227035_x_at	RP9P	7	32916815	32943176	p14.3
223945_x_at	RP9P	7	32916815	32943176	p14.3
	CA15P1	22	19031564	19034564	q11.21
		17	21566569	21574517	p11.2
	OFD1P11Y	Y	23771232	23798150	q11.223
		5	82919376	82921119	q14.2
	RPL23AP97	13	114346167	114346637	q34
		14	52286797	52289268	q22.1
	C17orf51	17	21524790	21574458	p11.2
1557346_a_at	C17orf51	17	21524790	21574458	p11.2
238166_s_at	C17orf51	17	21524790	21574458	p11.2
238167_at	C17orf51	17	21524790	21574458	p11.2
228146_at	C17orf51	17	21524790	21574458	p11.2
		5	82940458	82940983	q14.2
220998_s_at	UNC93B4	4	4143458	4150421	p16.3
		8	101411873	101452452	q22.3
223008_s_at	TMEM245	9	109015152	109119945	q31.3
223005_s_at	TMEM245	9	109015152	109119945	q31.3
223007_s_at	TMEM245	9	109015152	109119945	q31.3
223006_s_at	TMEM245	9	109015152	109119945	q31.3
	TMEM245	9	109015152	109119945	q31.3
	ST13P12	5	82968888	82977153	q14.2
1553871_at	CSNK1G2-AS1	19	1952531	1954586	p13.3
205129_at	NPM3	10	101781325	101783413	q24.32
	OR7E99P	4	4156522	4157443	p16.3
234890_at		1	1059734	1069355	p36.33
		1	1059734	1069355	p36.33
207537_at	PFKFB1	X	54932961	54998534	p11.21
213716_s_at	SECTM1	17	82321024	82334074	q25.3
	SECTM1	17	82321024	82334074	q25.3
	CKS1BP7	8	80644939	80645173	q21.13
	ZNF736P9Y	Y	8068896	8070723	p11.2
1560940_at	SACS-AS1	13	23418971	23428869	q12.12
1560941_a_at	SACS-AS1	13	23418971	23428869	q12.12
235079_at	ZNF704	8	80628451	80874781	q21.13
223366_at	ZNF704	8	80628451	80874781	q21.13
235905_at	ZNF704	8	80628451	80874781	q21.13
235732_at	ZNF704	8	80628451	80874781	q21.13
241963_at	ZNF704	8	80628451	80874781	q21.13
1558941_at	ZNF704	8	80628451	80874781	q21.13
	ZNF704	8	80628451	80874781	q21.13
	RPLP1P13	13	23373423	23374061	q12.12
240460_at		6	159165899	159170007	q25.3
		6	159165899	159170007	q25.3
	PTGER2	14	52314305	52328606	q22.1
206631_at	PTGER2	14	52314305	52328606	q22.1
	TRAJ14	14	22530327	22530378	q11.2
		5	83012285	83013109	q14.2
213262_at	SACS	13	23328826	23433740	q12.12
	SACS	13	23328826	23433740	q12.12
208137_x_at	ZNF611	19	52702813	52735073	q13.41
	ZNF611	19	52702813	52735073	q13.41
202574_s_at	CSNK1G2	19	1941149	1981338	p13.3
202573_at	CSNK1G2	19	1941149	1981338	p13.3
	CSNK1G2	19	1941149	1981338	p13.3
		8	129415949	129445852	q24.21
	FNDC1-IT1	6	159240786	159243329	q25.3
	PPIAP9	CHR_HSCHR6_MHC_COX_CTG1	31506943	31507754	
	CCDC26	8	128634199	129683679	q24.21
1553849_at	CCDC26	8	128634199	129683679	q24.21
		5	13860303	13900749	p15.2
		5	83049376	83050964	q14.2
226930_at	FNDC1	6	159169397	159272109	q25.3
	FNDC1	6	159169397	159272109	q25.3
207925_at	CST5	20	23875935	23879750	p11.21
225534_at	SMIM19	8	42541155	42555193	p11.21
	SMIM19	8	42541155	42555193	p11.21
	TRAJ13	14	22531076	22531138	q11.2
243938_x_at	DNAH5	5	13690331	13944543	p15.2
232381_s_at	DNAH5	5	13690331	13944543	p15.2
	DNAH5	5	13690331	13944543	p15.2
		11	34404663	34404949	p13
		15	45558598	45562877	q21.1
		12	25585994	25592928	p12.1
235182_at	ISM1	20	13221771	13300651	p12.1
232888_at	ISM1	20	13221771	13300651	p12.1
		17	21552509	21552711	p11.2
223484_at	C15orf48	15	45430529	45448761	q21.1
	C15orf48	15	45430529	45448761	q21.1
203307_at	GNL1	6	30541377	30557174	p21.33
239068_at	GNL1	6	30541377	30557174	p21.33
228857_at	GNL1	6	30541377	30557174	p21.33
238487_at	GNL1	6	30541377	30557174	p21.33
	GNL1	6	30541377	30557174	p21.33
	OR7E43P	4	4174319	4175238	p16.3
		17	21532974	21542786	p11.2
	CIR1P3	11	34430880	34431649	p13
		12	25435581	25436238	p12.1
		17	21573770	21574073	p11.2
1562932_at		12	25423600	25424942	p12.1
	TRAJ12	14	22531939	22531998	q11.2
		12	25409293	25409445	p12.1
	TUBB4BP1	12	25440875	25441052	p12.1
	RPL15P4	CHR_HSCHR6_MHC_COX_CTG1	31515566	31516145	
202188_at	NUP93	16	56730105	56850286	q13
	NUP93	16	56730105	56850286	q13
241758_at	NUP93	16	56730105	56850286	q13
208947_s_at	UPF1	19	18831938	18868236	p13.11
211168_s_at	UPF1	19	18831938	18868236	p13.11
	UPF1	19	18831938	18868236	p13.11
226863_at	FAM110C	2	38814	46870	p25.3
	FAM110C	2	38814	46870	p25.3
211223_at	PROP1	CHR_HSCHR5_2_CTG5	177996182	177996994	
		8	101562008	101562488	q22.3
	ENTPD8	9	137434364	137441816	q34.3
	ARMC8P1	9	38452782	38454070	p13.1
1552865_a_at	LMNTD1	12	25409307	25648579	p12.1
	LMNTD1	12	25409307	25648579	p12.1
		1	1062208	1063288	p36.33
		8	101528723	101529569	q22.3
1557014_a_at	FAM201A	9	38620474	38624990	p13.1
1557541_at	FAM201A	9	38620474	38624990	p13.1
	AKAP1	17	57085092	57121349	q22
201674_s_at	AKAP1	17	57085092	57121349	q22
210625_s_at	AKAP1	17	57085092	57121349	q22
201675_at	AKAP1	17	57085092	57121349	q22
210626_at	AKAP1	17	57085092	57121349	q22
		8	101461177	101492499	q22.3
226238_at	MCEE	2	71109684	71130239	p13.3
	MCEE	2	71109684	71130239	p13.3
	CSTP1	20	23918771	23922169	p11.21
240719_at	ISM1-AS1	20	13237801	13239674	p12.1
219388_at	GRHL2	8	101492432	101669726	q22.3
	GRHL2	8	101492432	101669726	q22.3
		20	13244064	13245369	p12.1
211688_x_at	KIR3DL2	CHR_HSCHR19LRC_LRC_S_CTG3_1	54857994	54874788	
207314_x_at	KIR3DL2	CHR_HSCHR19LRC_LRC_S_CTG3_1	54857994	54874788	
207313_x_at	KIR3DL2	CHR_HSCHR19LRC_LRC_S_CTG3_1	54857994	54874788	
216907_x_at	KIR3DL2	CHR_HSCHR19LRC_LRC_S_CTG3_1	54857994	54874788	
	RNMTL1P2	7	17962079	17963029	p21.1
		5	95701249	95732295	q15
		8	129250967	129251138	q24.21
		7	18000290	18000879	p21.1
		9	38542479	38568422	p13.1
		CHR_HSCHR6_MHC_APD_CTG1	29497578	29510624	
	HMGB1P41	8	80812142	80812581	q21.13
		10	129768844	129769435	q26.3
		20	23980585	23980734	p11.21
		9	38526831	38527032	p13.1
1564662_at	ZNF852	3	44498970	44510636	p21.31
	RHOBTB3	5	95713522	95824383	q15
216048_s_at	RHOBTB3	5	95713522	95824383	q15
216049_at	RHOBTB3	5	95713522	95824383	q15
202975_s_at	RHOBTB3	5	95713522	95824383	q15
225202_at	RHOBTB3	5	95713522	95824383	q15
202976_s_at	RHOBTB3	5	95713522	95824383	q15
	GAS2L1P1	9	38486859	38488338	p13.1
231571_at	LINC01015	CHR_HSCHR6_MHC_APD_CTG1	29529494	29533642	
	LINC01015	CHR_HSCHR6_MHC_APD_CTG1	29529494	29533642	
	TCEA1P3	9	38478471	38479350	p13.1
215486_at	PRPS1L1	7	18026774	18027863	p21.1
	COQ10BP2	5	83279921	83280644	q14.2
		9	38543104	38543446	p13.1
224702_at	TMEM167A	5	83052846	83077863	q14.2
226276_at	TMEM167A	5	83052846	83077863	q14.2
	VN1R66P	16	31648307	31649222	p11.2
		9	38433696	38543880	p13.1
		19	29901696	29901869	q12
201001_s_at	UBE2V1	20	50081124	50115959	q13.13
201002_s_at	UBE2V1	20	50081124	50115959	q13.13
	UBE2V1	20	50081124	50115959	q13.13
237047_at	FAM230C	13	18195297	18232024	q11
	FAM95C	9	38540569	38577207	p13.1
244297_at	FAM95C	9	38540569	38577207	p13.1
		6	143342246	143343383	q24.2
226155_at	FAM160B1	10	114821744	114899832	q25.3
1554288_at	FAM160B1	10	114821744	114899832	q25.3
	FAM160B1	10	114821744	114899832	q25.3
211455_at		13	18206570	18207466	q11
		6	143386581	143387409	q24.2
	GPR53P	CHR_HSCHR6_MHC_APD_CTG1	29537778	29538861	
		22	19124309	19128449	q11.21
1559352_a_at	MAFG-DT	17	81927829	81930753	q25.3
		22	19121529	19124503	q11.21
1555822_at	FAM138C	9	34394	37269	p24.3
	TSSK1A	22	19124879	19125646	q11.21
243116_at	PIP5KL1	9	127920879	127930797	q34.11
	PIP5KL1	9	127920879	127930797	q34.11
		18	26688111	26689668	q11.2
1566236_at		22	19061041	19061843	q11.21
		18	26952201	26952558	q11.2
215725_at	DGCR11	22	19046162	19048375	q11.21
203721_s_at	UTP18	17	51260528	51297936	q21.33
	UTP18	17	51260528	51297936	q21.33
	CIAPIN1P	18	26599408	26600338	q11.2
214198_s_at	DGCR2	22	19036282	19122454	q11.21
1566236_at	DGCR2	22	19036282	19122454	q11.21
202099_s_at	DGCR2	22	19036282	19122454	q11.21
	DGCR2	22	19036282	19122454	q11.21
	AQP4-AS1	18	26655742	27190698	q11.2
1560751_at	AQP4-AS1	18	26655742	27190698	q11.2
1553440_at	AQP4-AS1	18	26655742	27190698	q11.2
		9	38542389	38543215	p13.1
	EI24P3	3	44524744	44525805	p21.31
	FAM220BP	9	38527097	38527912	p13.1
	AKR1C8P	10	5154143	5185187	p15.1
		4	69888877	69889406	q13.3
	UBE2E3	2	180967248	181076585	q31.3
210024_s_at	UBE2E3	2	180967248	181076585	q31.3
229543_at		6	116460739	116463692	q22.1
		15	45585757	45586304	q21.1
232373_at	NOXA1	9	137423350	137434406	q34.3
225995_x_at	WASHC1	9	14521	73865	p24.3
226340_x_at	WASHC1	9	14521	73865	p24.3
233929_x_at	WASHC1	9	14521	73865	p24.3
225035_x_at	WASHC1	9	14521	73865	p24.3
	WASHC1	9	14521	73865	p24.3
	DPPA5P2	15	45566776	45567074	q21.1
		10	35219894	35230598	p11.21
	DSE	6	116254173	116444860	q22.1
1557560_at	DSE	6	116254173	116444860	q22.1
1558868_a_at	DSE	6	116254173	116444860	q22.1
218854_at	DSE	6	116254173	116444860	q22.1
1558867_at	DSE	6	116254173	116444860	q22.1
227193_at	SLC30A4	15	45479611	45522807	q21.1
238845_at	SLC30A4	15	45479611	45522807	q21.1
207362_at	SLC30A4	15	45479611	45522807	q21.1
	SLC30A4	15	45479611	45522807	q21.1
		8	42537529	42538304	p11.21
		8	42484600	42485019	p11.21
		5	83201229	83202141	q14.2
		X	35741600	35744582	p21.1
205072_s_at	XRCC4	5	83077498	83353787	q14.2
205071_x_at	XRCC4	5	83077498	83353787	q14.2
210813_s_at	XRCC4	5	83077498	83353787	q14.2
210812_at	XRCC4	5	83077498	83353787	q14.2
202744_at	SLC20A2	8	42416475	42541926	p11.21
	SLC20A2	8	42416475	42541926	p11.21
231818_x_at	SLC20A2	8	42416475	42541926	p11.21
		X	35761499	35762479	p21.1
201105_at	LGALS1	22	37675608	37679806	q13.1
	LGALS1	22	37675608	37679806	q13.1
204199_at	RALGPS1	9	126914774	127223166	q33.3
1555452_at	RALGPS1	9	126914774	127223166	q33.3
	RALGPS1	9	126914774	127223166	q33.3
1554745_at	RALGPS1	9	126914774	127223166	q33.3
210552_s_at	RALGPS1	9	126914774	127223166	q33.3
	RPS10P27	18	23672253	23672748	q11.2
		5	111076921	111092115	q22.1
210062_s_at	ZNF589	3	48241100	48299253	p21.31
219968_at	ZNF589	3	48241100	48299253	p21.31
210061_at	ZNF589	3	48241100	48299253	p21.31
1569108_a_at	ZNF589	3	48241100	48299253	p21.31
	ZNF589	3	48241100	48299253	p21.31
238677_at	WDR36	5	111091716	111130502	q22.1
226180_at	WDR36	5	111091716	111130502	q22.1
	WDR36	5	111091716	111130502	q22.1
	MAGEB16	X	35798342	35803735	p21.1
		18	26565723	26575626	q11.2
214769_at	CLCN4	X	10156945	10237660	p22.2
205148_s_at	CLCN4	X	10156945	10237660	p22.2
205149_s_at	CLCN4	X	10156945	10237660	p22.2
217556_at	CLCN4	X	10156945	10237660	p22.2
	CLCN4	X	10156945	10237660	p22.2
	PGM5P3-AS1	9	72674	88826	p24.3
230595_at	PGM5P3-AS1	9	72674	88826	p24.3
210068_s_at	AQP4	18	26852038	26865818	q11.2
210067_at	AQP4	18	26852038	26865818	q11.2
226228_at	AQP4	18	26852038	26865818	q11.2
210906_x_at	AQP4	18	26852038	26865818	q11.2
210066_s_at	AQP4	18	26852038	26865818	q11.2
	AQP4	18	26852038	26865818	q11.2
		14	60544400	60544654	q23.1
222443_s_at	RBM8B	14	60397757	60398281	q23.1
		14	60515119	60554916	q23.1
	CCZ1	7	5898725	5926550	p22.1
208310_s_at	CCZ1	7	5898725	5926550	p22.1
201973_s_at	CCZ1	7	5898725	5926550	p22.1
215024_at	CCZ1	7	5898725	5926550	p22.1
201974_s_at	CCZ1	7	5898725	5926550	p22.1
	HMGN2P46	15	45511136	45586290	q21.1
242649_x_at	HMGN2P46	15	45511136	45586290	q21.1
1553067_a_at	GNRHR2P1	14	60398934	60400013	q23.1
		X	35864858	35869631	p21.1
	NRADDP	3	47010824	47013465	p21.31
	C14orf39	14	60396469	60515543	q23.1
1561985_at	C14orf39	14	60396469	60515543	q23.1
		15	40480752	40481315	q15.1
	HIST1H2AA	6	25726132	25726527	p22.2
		15	45430652	45441808	q21.1
215876_at		9	104927553	104928892	q31.1
		15	45448427	45513767	q21.1
206437_at	S1PR4	19	3172346	3180332	p13.3
203504_s_at	ABCA1	9	104781002	104928237	q31.1
	ABCA1	9	104781002	104928237	q31.1
216066_at	ABCA1	9	104781002	104928237	q31.1
1570279_at	ABCA1	9	104781002	104928237	q31.1
	TRMT112P4	CHR_HSCHR9_1_CTG5	101356497	101356875	
209276_s_at	GLRX	5	95751319	95823005	q15
	GLRX	5	95751319	95823005	q15
206662_at	GLRX	5	95751319	95823005	q15
		5	8785042	8785468	p15.31
	DDX11L5	9	12134	13783	p24.3
241519_at	HIST1H2BA	6	25726777	25727292	p22.2
		9	52452	73374	p24.3
228609_at		9	27657	30891	p24.3
		2	238454908	238457520	q37.3
206913_at	BAAT	CHR_HSCHR9_1_CTG5	101371093	101381063	
210513_s_at	VEGFA	6	43770184	43786487	p21.1
210512_s_at	VEGFA	6	43770184	43786487	p21.1
211527_x_at	VEGFA	6	43770184	43786487	p21.1
212171_x_at	VEGFA	6	43770184	43786487	p21.1
		19	29915862	29917830	q12
1562214_at	LINC01107	2	238510690	238555054	q37.3
	RBM22P12	16	31680847	31682101	p11.2
209698_at	CCHCR1	6	31142439	31158238	p21.33
37424_at	CCHCR1	6	31142439	31158238	p21.33
37425_g_at	CCHCR1	6	31142439	31158238	p21.33
42361_g_at	CCHCR1	6	31142439	31158238	p21.33
	CCHCR1	6	31142439	31158238	p21.33
	HIST1H2BPS1	6	25731782	25732091	p22.2
	MRPS18AP1	3	48256350	48256938	p21.31
	LINC02277	14	44444747	44480618	q21.2
	LINC01937	2	238720324	238740780	q37.3
		20	63543411	63543738	q13.33
	FCF1P2	3	48290793	48291375	p21.31
	PPIAP58	19	29921182	29921653	q12
234514_at	SRMS	20	63540810	63547504	q13.33
		2	238735263	238735547	q37.3
		2	197569	202605	p25.3
209759_s_at	ECI1	16	2239395	2252300	p13.3
	ECI1	16	2239395	2252300	p13.3
	VN2R19P	19	58012589	58025926	q13.43
		2	238788648	238789716	q37.3
205851_at	NME6	3	48290722	48301685	p21.31
	NME6	3	48290722	48301685	p21.31
224274_at	FSCB	14	44504342	44507279	q21.2
		CHR_HSCHR9_1_CTG5	101368525	101370831	
	CCDC32	15	40528683	40565057	q15.1
1560814_a_at	CCDC32	15	40528683	40565057	q15.1
225397_at	CCDC32	15	40528683	40565057	q15.1
1558648_at	CCDC32	15	40528683	40565057	q15.1
		5	8793875	8794197	p15.31
1554163_at	TWIST2	2	238848032	238910543	q37.3
229404_at	TWIST2	2	238848032	238910543	q37.3
228609_at		19	69167	69972	p13.3
231811_at		19	60951	71626	p13.3
1557034_s_at		19	60951	71626	p13.3
		19	60951	71626	p13.3
	INSL6	9	5131979	5185668	p24.1
221403_s_at	INSL6	9	5131979	5185668	p24.1
1569421_at	CLDN4	7	73799542	73832693	q11.23
201428_at	CLDN4	7	73799542	73832693	q11.23
216231_s_at	B2M	CHR_HSCHR15_3_CTG8	44711489	44718888	
201891_s_at	B2M	CHR_HSCHR15_3_CTG8	44711489	44718888	
232311_at	B2M	CHR_HSCHR15_3_CTG8	44711489	44718888	
	KIR3DP1	CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1	54786260	54790260	
231232_at		12	48789147	48790535	q13.12
	KIR2DL4	CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1	54803565	54814279	
		17	36161607	36162926	q12
		17	36116177	36177510	q12
	RBMY2JP	Y	8127130	8144203	p11.2
218315_s_at	CDK5RAP1	20	33358839	33401561	q11.21
	CDK5RAP1	20	33358839	33401561	q11.21
209403_at	TBC1D3B	17	36165681	36176636	q12
	TBC1D3B	17	36165681	36176636	q12
1554116_s_at	PARP11	12	3791047	3873448	p13.32
229138_at	PARP11	12	3791047	3873448	p13.32
220315_at	PARP11	12	3791047	3873448	p13.32
	PARP11	12	3791047	3873448	p13.32
1561572_at	LINC02199	5	8839732	8881525	p15.31
	LINC02199	5	8839732	8881525	p15.31
